Geo Code,Geo Name,Line Number
"35060080495","35060495",1680758
"35060080496","35060496",1683005
"35060080497","35060497",1685252
"35060080498","35060498",1687499
"35060080499","35060499",1689746
"35060080500","35060500",1691993
"35060080501","35060501",1694240
"35060080502","35060502",1696487
"35060080503","35060503",1698734
"35060080504","35060504",1700981
"35060080505","35060505",1703228
"35060080506","35060506",1705475
"35060080507","35060507",1707722
"35060080508","35060508",1709969
"35060080509","35060509",1712216
"35060080510","35060510",1714463
"35060080511","35060511",1716710
"35060080512","35060512",1718957
"35060080513","35060513",1721204
"35060080514","35060514",1723451
"35060080515","35060515",1725698
"35060080516","35060516",1727945
"35060080517","35060517",1730192
"35060080518","35060518",1732439
"35060080519","35060519",1734686
"35060080520","35060520",1736933
"35060080521","35060521",1739180
"35060080522","35060522",1741427
"35060080523","35060523",1743674
"35060080524","35060524",1745921
"35060080525","35060525",1748168
"35060080526","35060526",1750415
"35060080527","35060527",1752662
"35060080529","35060529",1754909
"35060080530","35060530",1757156
"35060080531","35060531",1759403
"35060080533","35060533",1761650
"35060080534","35060534",1763897
"35060080535","35060535",1766144
"35060080538","35060538",1768391
"35060080539","35060539",1770638
"35060080544","35060544",1772885
"35060080547","35060547",1775132
"35060080551","35060551",1777379
"35060080553","35060553",1779626
"35060080554","35060554",1781873
"35060080555","35060555",1784120
"35060080556","35060556",1786367
"35060080557","35060557",1788614
"35060080558","35060558",1790861
"35060080559","35060559",1793108
"35060080560","35060560",1795355
"35060080561","35060561",1797602
"35060080562","35060562",1799849
"35060080563","35060563",1802096
"35060080564","35060564",1804343
"35060080565","35060565",1806590
"35060080567","35060567",1808837
"35060080568","35060568",1811084
"35060080569","35060569",1813331
"35060080573","35060573",1815578
"35060080574","35060574",1817825
"35060080575","35060575",1820072
"35060080576","35060576",1822319
"35060080577","35060577",1824566
"35060080578","35060578",1826813
"35060080579","35060579",1829060
"35060080580","35060580",1831307
"35060080582","35060582",1833554
"35060080585","35060585",1835801
"35060080588","35060588",1838048
"35060080590","35060590",1840295
"35060080592","35060592",1842542
"35060080593","35060593",1844789
"35060080594","35060594",1847036
"35060080595","35060595",1849283
"35060080597","35060597",1851530
"35060080598","35060598",1853777
"35060080599","35060599",1856024
"35060080600","35060600",1858271
"35060080602","35060602",1860518
"35060080603","35060603",1862765
"35060080604","35060604",1865012
"35060080605","35060605",1867259
"35060080606","35060606",1869506
"35060080607","35060607",1871753
"35060080608","35060608",1874000
"35060080609","35060609",1876247
"35060080610","35060610",1878494
"35060080611","35060611",1880741
"35060080612","35060612",1882988
"35060080613","35060613",1885235
"35060080616","35060616",1887482
"35060080617","35060617",1889729
"35060080618","35060618",1891976
"35060080619","35060619",1894223
"35060080620","35060620",1896470
"35060080622","35060622",1898717
"35060080623","35060623",1900964
"35060080624","35060624",1903211
"35060080625","35060625",1905458
"35060080634","35060634",1907705
"35060080638","35060638",1909952
"35060080641","35060641",1912199
"35060080642","35060642",1914446
"35060080643","35060643",1916693
"35060080644","35060644",1918940
"35060080645","35060645",1921187
"35060080646","35060646",1923434
"35060080647","35060647",1925681
"35060080648","35060648",1927928
"35060080649","35060649",1930175
"35060080653","35060653",1932422
"35060080654","35060654",1934669
"35060080655","35060655",1936916
"35060080656","35060656",1939163
"35060080657","35060657",1941410
"35060080662","35060662",1943657
"35060080663","35060663",1945904
"35060080668","35060668",1948151
"35060080669","35060669",1950398
"35060080670","35060670",1952645
"35060080671","35060671",1954892
"35060080672","35060672",1957139
"35060080673","35060673",1959386
"35060080678","35060678",1961633
"35060080679","35060679",1963880
"35060080680","35060680",1966127
"35060080681","35060681",1968374
"35060080682","35060682",1970621
"35060080684","35060684",1972868
"35060080685","35060685",1975115
"35060080686","35060686",1977362
"35060080687","35060687",1979609
"35060080688","35060688",1981856
"35060080689","35060689",1984103
"35060080690","35060690",1986350
"35060080695","35060695",1988597
"35060080696","35060696",1990844
"35060080697","35060697",1993091
"35060080698","35060698",1995338
"35060080700","35060700",1997585
"35060080701","35060701",1999832
"35060080702","35060702",2002079
"35060080703","35060703",2004326
"35060080704","35060704",2006573
"35060080706","35060706",2008820
"35060080707","35060707",2011067
"35060080708","35060708",2013314
"35060080709","35060709",2015561
"35060080710","35060710",2017808
"35060080711","35060711",2020055
"35060080712","35060712",2022302
"35060080713","35060713",2024549
"35060080717","35060717",2026796
"35060080718","35060718",2029043
"35060080719","35060719",2031290
"35060080720","35060720",2033537
"35060080721","35060721",2035784
"35060080722","35060722",2038031
"35060080723","35060723",2040278
"35060080724","35060724",2042525
"35060080725","35060725",2044772
"35060080726","35060726",2047019
"35060080728","35060728",2049266
"35060080729","35060729",2051513
"35060080731","35060731",2053760
"35060080734","35060734",2056007
"35060080735","35060735",2058254
"35060080736","35060736",2060501
"35060080737","35060737",2062748
"35060080738","35060738",2064995
"35060080739","35060739",2067242
"35060080740","35060740",2069489
"35060080741","35060741",2071736
"35060080742","35060742",2073983
"35060080743","35060743",2076230
"35060080744","35060744",2078477
"35060080745","35060745",2080724
"35060080746","35060746",2082971
"35060080747","35060747",2085218
"35060080748","35060748",2087465
"35060080749","35060749",2089712
"35060080750","35060750",2091959
"35060080751","35060751",2094206
"35060080752","35060752",2096453
"35060080753","35060753",2098700
"35060080754","35060754",2100947
"35060080755","35060755",2103194
"35060080758","35060758",2105441
"35060080759","35060759",2107688
"35060080760","35060760",2109935
"35060080761","35060761",2112182
"35060080762","35060762",2114429
"35060080763","35060763",2116676
